番剧id,分数,评分人数,番剧名,番剧简介,播放次数,播放时间
21717,9.9,7084,"""妖精森林的小不点""","白明与御子地。
住在绿意盎然的森林中的，两位小小的女孩子。
在树洞里建造家、把树叶当做伞、坐在昆虫或...",3628581,"""2018-01-12"""
23619,9.9,355,"""RWBY Chibi 第三季""",RWBY Chibi is back for a second season of crazy hi...,150488,"""2018-01-27"""
2672,9.9,222,"""小马宝莉 第五季""",动画讲述了一只名叫做暮光闪闪/紫悦（Twilight Sparkle）的独角兽，要执行她导师塞拉斯缇...,881494,"""2015-04-04"""
2669,9.9,146,"""小马宝莉 第二季""",动画讲述了一只名叫做暮光闪闪/紫悦（Twilight Sparkle）的独角兽，要执行她导师塞拉斯缇...,753806,"""2011-09-17"""
6463,9.8,38535,"""少女终末旅行""",本作舞台在人类繁华的文明迎来终结的很久以后，人类基本灭绝，甚至生物都不再存在的末日世界。复杂够高的都...,15903808,"""2017-10-06"""
6434,9.8,36722,"""宝石之国""",以遥远的未来为舞台，地上的生物沉入了海底，被微生物吃掉成为无机物体。由于长时间的结晶变成宝石生命体的...,29741099,"""2017-10-07"""
21421,9.8,31685,"""魔卡少女樱 CLEAR CARD篇""",樱集齐了会给世间带来灾难的“库洛牌”，并用魔法的力量将它们变成了自己的牌。樱花盛开的4月，小樱升入了...,18748350,"""2018-01-07"""
6439,9.8,20706,"""幻界战线 & BEYOND""","曾经被称为纽约的城市，仅仅一晚便消失无踪。
出现在那里的城市“赫尔沙雷姆兹·罗特”。在浓雾的另一侧展...",16807790,"""2017-10-08"""
22504,9.8,16857,"""卫宫家今天的饭""",在「KADOKAWAヤングエースUP」连载中的《卫宫家今天的饭》于2017年12月31日公布了动画化...,6377442,"""2018-01-01"""
6425,9.8,14595,"""此花亭奇谭""",侍奉神明的狐娘们工作的温泉旅馆“此花亭”。“此花绮谭”便是来此花葶服务的新人服务员柚，和围绕着柚的伙...,10082500,"""2017-10-05"""
1089,9.8,12724,"""钢之炼金术师 FULLMETAL ALCHEMIST""",因思念已故的母亲，触犯炼金术中被视为最大禁忌“人体炼成”，而失去一切的兄弟──装上机械铠、有“钢之炼...,3990740,"""2009-04-05"""
21778,9.8,10968,"""比宇宙更远的地方""","无论何时，我们的第一步总是从好奇心开始。
不曾看过的风景，不曾听过的声音，不曾闻过的味道，不曾摸过的...",5408963,"""2018-01-02"""
1178,9.8,8396,"""CLANNAD ～AFTER STORY～""","我们一起迈开了脚步…
　　在这长长的…长长的坡道上…
　　家族……被我拒绝的地方： CLANNAD的...",5816733,"""2008-10-02"""
6445,9.8,7215,"""3月的狮子 第二季""",这是有关各式各样的人们取回什么的温馨故事，同时也是有关斗争的故事。主人公桐山零，幼时因为意外事故失去...,4176934,"""2017-10-15"""
844,9.8,6532,"""日常""",《日常》改编自あらゐけいいち连载于《月刊少年ACE》的同名漫画。以“时定高中”的高中女生们异想天开的...,26958719,"""2011-04-02"""
3756,9.8,6269,"""魔卡少女樱""",初代萌王！,16705060,"""1998-04-07"""
21469,9.8,6202,"""齐木楠雄的灾难 第二季""",能够窥视别人的内心、看透墙壁、以念力移动物品、瞬间移动，一出生就拥有一切的超能力！他就是沉默寡言的超...,6031219,"""2018-01-17"""
2654,9.8,2421,"""怪化猫""","有一位带着斩魔之剑在各地旅行，并且斩除「妖怪」的卖药郎。
在那些要求除去妖怪的人们的请求下，卖药郎会...",3628793,"""2007-07-12"""
2261,9.8,2130,"""星际牛仔""",2071年，随着超光速航行技术的实现，人类得以在太阳系范围内方便的自由移动，但是由于设计上的失误，这...,324208,"""1998-10-23"""
1715,9.8,1413,"""虫师""", 这里的虫既不是动植物，也与微生物和菌类不同，是更接近生命原生态的东西。这些东西总称为“虫”。它们的...,4132528,"""2005-10-22"""
2668,9.8,375,"""小马宝莉 第一季""",动画讲述了一只名叫做暮光闪闪/紫悦（Twilight Sparkle）的独角兽，要执行她导师塞拉斯缇...,1259250,"""2010-10-10"""
2487,9.8,209,"""鼹鼠的故事""",《鼹鼠的故事》由捷克斯洛伐克“StudioBratrivtriku”出品公司制作，是非常著名的动画片...,419904,"""1957-01-01"""
21326,9.8,207,"""剧场版 笑傲昙天（外传）""","明治时期，围绕着日本最大的湖泊·琵琶湖畔的监狱所展开的冒险剧作。
被大蛇玩弄于鼓掌之中的—阴家、豺、...",163285,"""2017-12-02"""
23222,9.8,197,"""萌猫向前冲""",一部声优强大的萌萌在子供向泡面番,105055,"""2018-01-04"""
3301,9.8,165,"""南方公园 第十九季""",由于维多利亚校长被解雇，南方公园小学迎来了一名PC校长。这位新校长的到来，让整个学校的风气也不得不跟...,2011464,"""2015-09-16"""
2193,9.8,148,"""南方公园 第十八季""",南方公园 （South Park）是美国喜剧中心（Comedy Central）制作的动画剧集，由特...,4931899,"""2014-09-24"""
